node,label,label_name,degree,clustering,component_size,boundary,class_size,error,stable_error,cluster,degree_bin,boundary_bin,coverage,dist_from_mean_coordinate,n_modes,n_routes
544,3,bus+trolley,2.0,0.0,4562.0,0.5,610.0,1,1,3,2 path,mixed,517.9650268554688,0.09734943509101868,2.0,9.0
545,3,bus+trolley,1.0,0.0,4562.0,0.0,610.0,1,1,0,1 tip,0 no foreign neighbour,443.3182067871094,0.15545566380023956,2.0,7.0
546,6,trolley,1.0,0.0,4562.0,1.0,261.0,1,1,2,1 tip,1 all neighbours foreign,111.14481353759766,0.2004721462726593,1.0,2.0
547,3,bus+trolley,5.0,0.0,4562.0,0.2,610.0,1,1,0,3+ branch,mixed,443.3182067871094,0.15014111995697021,2.0,7.0
548,3,bus+trolley,3.0,0.3333333432674408,4562.0,0.6666666666666666,610.0,1,1,5,3+ branch,mixed,466.1401062011719,0.10432837903499603,2.0,8.0
549,3,bus+trolley,4.0,0.0,4562.0,0.75,610.0,1,1,4,3+ branch,mixed,443.3182067871094,0.14397509396076202,2.0,7.0
550,6,trolley,1.0,0.0,4562.0,1.0,261.0,1,1,3,1 tip,1 all neighbours foreign,53.193878173828125,0.11616537719964981,1.0,1.0
551,3,bus+trolley,2.0,0.0,4562.0,0.0,610.0,1,1,3,2 path,0 no foreign neighbour,485.3192443847656,0.11085151135921478,2.0,9.0
552,6,trolley,1.0,0.0,4562.0,1.0,261.0,1,1,4,1 tip,1 all neighbours foreign,60.338191986083984,0.13437102735042572,1.0,1.0
553,3,bus+trolley,2.0,0.0,4562.0,0.0,610.0,1,1,3,2 path,0 no foreign neighbour,185.66143798828125,0.12248901277780533,2.0,3.0
554,3,bus+trolley,1.0,0.0,4562.0,0.0,610.0,1,1,4,1 tip,0 no foreign neighbour,170.22508239746094,0.146633580327034,2.0,4.0
555,3,bus+trolley,1.0,0.0,4562.0,0.0,610.0,1,1,2,1 tip,0 no foreign neighbour,85.22594451904297,0.11633956432342529,2.0,2.0
556,3,bus+trolley,3.0,0.0,4562.0,0.0,610.0,1,1,4,3+ branch,0 no foreign neighbour,170.22508239746094,0.1434628665447235,2.0,4.0
557,6,trolley,1.0,0.0,4562.0,0.0,261.0,1,1,4,1 tip,0 no foreign neighbour,28.144166946411133,0.16932091116905212,1.0,1.0
558,3,bus+trolley,3.0,0.0,4562.0,0.6666666666666666,610.0,1,1,2,3+ branch,mixed,85.22594451904297,0.11198221892118454,2.0,2.0
559,3,bus+trolley,1.0,0.0,4562.0,0.0,610.0,1,1,4,1 tip,0 no foreign neighbour,332.76885986328125,0.11606928706169128,2.0,6.0
560,3,bus+trolley,5.0,0.10000000149011612,4562.0,0.6,610.0,1,1,3,3+ branch,mixed,566.4276733398438,0.044662684202194214,2.0,10.0
561,3,bus+trolley,1.0,0.0,4562.0,0.0,610.0,1,1,5,1 tip,0 no foreign neighbour,721.4876098632812,0.050138164311647415,2.0,11.0
562,3,bus+trolley,1.0,0.0,4562.0,0.0,610.0,1,1,4,1 tip,0 no foreign neighbour,291.33123779296875,0.038370173424482346,2.0,5.0
563,3,bus+trolley,2.0,0.0,4562.0,0.5,610.0,1,1,3,2 path,mixed,328.4107971191406,0.0327254943549633,2.0,6.0
564,3,bus+trolley,2.0,0.0,4562.0,0.5,610.0,1,1,5,2 path,mixed,759.9700927734375,0.04646218195557594,2.0,12.0
565,3,bus+trolley,5.0,0.0,4562.0,0.2,610.0,1,1,4,3+ branch,mixed,382.03131103515625,0.026741372421383858,2.0,7.0
566,0,bus,2.0,0.0,4562.0,0.0,3145.0,0,0,4,2 path,0 no foreign neighbour,168.1625518798828,0.13378790020942688,1.0,4.0
567,3,bus+trolley,2.0,0.0,4562.0,0.5,610.0,1,1,5,2 path,mixed,721.4876098632812,0.042676374316215515,2.0,11.0
568,6,trolley,1.0,0.0,4562.0,1.0,261.0,1,1,2,1 tip,1 all neighbours foreign,51.67567825317383,0.2225506454706192,1.0,1.0
569,3,bus+trolley,2.0,0.0,4562.0,0.5,610.0,1,1,3,2 path,mixed,667.47900390625,0.03678800165653229,2.0,10.0
570,3,bus+trolley,2.0,0.0,4562.0,0.0,610.0,1,1,4,2 path,0 no foreign neighbour,382.03131103515625,0.02617695927619934,2.0,7.0
571,3,bus+trolley,3.0,0.0,4562.0,0.6666666666666666,610.0,1,1,3,3+ branch,mixed,489.2255554199219,0.03207922354340553,2.0,7.0
572,3,bus+trolley,5.0,0.0,4562.0,1.0,610.0,1,1,3,3+ branch,1 all neighbours foreign,242.58851623535156,0.22812220454216003,2.0,5.0
573,2,bus+tram+trolley,5.0,0.0,4562.0,1.0,88.0,1,1,5,3+ branch,1 all neighbours foreign,836.9652709960938,0.03464807942509651,3.0,13.0
574,3,bus+trolley,4.0,0.5,4562.0,0.25,610.0,1,1,5,3+ branch,mixed,663.4478149414062,0.08669401705265045,2.0,12.0
575,0,bus,1.0,0.0,4562.0,1.0,3145.0,0,0,2,1 tip,1 all neighbours foreign,36.85954284667969,0.08997011184692383,1.0,1.0
576,3,bus+trolley,2.0,0.0,4562.0,0.0,610.0,1,1,3,2 path,0 no foreign neighbour,667.47900390625,0.037770435214042664,2.0,10.0
577,6,trolley,1.0,0.0,4562.0,1.0,261.0,1,1,2,1 tip,1 all neighbours foreign,51.67567825317383,0.23467785120010376,1.0,1.0
578,3,bus+trolley,2.0,0.0,4562.0,0.5,610.0,1,1,5,2 path,mixed,661.7101440429688,0.04112900793552399,2.0,10.0
579,6,trolley,1.0,0.0,4562.0,1.0,261.0,1,1,3,1 tip,1 all neighbours foreign,51.67567825317383,0.1496640145778656,1.0,1.0
580,3,bus+trolley,2.0,0.0,4562.0,0.5,610.0,1,1,5,2 path,mixed,622.2900390625,0.04518251493573189,2.0,10.0
581,3,bus+trolley,3.0,0.0,4562.0,1.0,610.0,1,1,3,3+ branch,1 all neighbours foreign,222.13209533691406,0.2193111628293991,2.0,4.0
582,6,trolley,2.0,0.0,4562.0,0.5,261.0,1,1,4,2 path,mixed,210.6273193359375,0.09797021001577377,1.0,4.0
583,0,bus,2.0,0.0,4562.0,0.0,3145.0,0,0,3,2 path,0 no foreign neighbour,331.4480285644531,0.10052613914012909,1.0,6.0
584,3,bus+trolley,2.0,0.0,4562.0,1.0,610.0,1,1,3,2 path,1 all neighbours foreign,390.66741943359375,0.13868406414985657,2.0,7.0
585,3,bus+trolley,2.0,0.0,4562.0,0.5,610.0,1,1,5,2 path,mixed,696.7098999023438,0.052031174302101135,2.0,11.0
586,3,bus+trolley,1.0,0.0,4562.0,0.0,610.0,1,1,4,1 tip,0 no foreign neighbour,291.33123779296875,0.03598671033978462,2.0,5.0
587,3,bus+trolley,4.0,0.1666666716337204,4562.0,0.0,610.0,1,1,5,3+ branch,0 no foreign neighbour,721.4186401367188,0.05623903125524521,2.0,11.0
588,6,trolley,3.0,0.0,4562.0,0.6666666666666666,261.0,1,1,3,3+ branch,mixed,210.6457977294922,0.11322588473558426,1.0,4.0
589,0,bus,3.0,0.0,4562.0,0.0,3145.0,0,0,6,3+ branch,0 no foreign neighbour,581.4747314453125,0.3052441477775574,1.0,6.0
590,3,bus+trolley,1.0,0.0,4562.0,0.0,610.0,1,1,3,1 tip,0 no foreign neighbour,379.75750732421875,0.10202091932296753,2.0,7.0
591,3,bus+trolley,5.0,0.0,4562.0,1.0,610.0,1,1,3,3+ branch,1 all neighbours foreign,313.2991638183594,0.2334260493516922,2.0,6.0
592,6,trolley,1.0,0.0,4562.0,1.0,261.0,1,1,3,1 tip,1 all neighbours foreign,303.6118469238281,0.05539454147219658,1.0,6.0
593,3,bus+trolley,2.0,0.0,4562.0,0.0,610.0,1,1,5,2 path,0 no foreign neighbour,796.6388549804688,0.08854363858699799,2.0,14.0
594,3,bus+trolley,1.0,0.0,4562.0,0.0,610.0,1,1,5,1 tip,0 no foreign neighbour,676.5323486328125,0.06274905800819397,2.0,12.0
