route,n_stops,cohesion,null_cohesion,span
bus:328,50,0.56,0.34240000000000004,0.18733900785446167
bus:329,79,0.4810126582278481,0.3275949367088608,0.4261530935764313
bus:33,33,0.3939393939393939,0.35030303030303034,0.12498920410871506
bus:330,29,0.6896551724137931,0.3393103448275862,0.20145444571971893
bus:331,10,0.7,0.40800000000000003,0.034738559275865555
bus:332,45,0.7111111111111111,0.3315555555555555,0.16140630841255188
bus:333,53,0.7358490566037735,0.3324528301886792,0.18024587631225586
bus:335,27,0.48148148148148145,0.3688888888888889,0.11518550664186478
bus:335А,44,0.5909090909090909,0.3309090909090909,0.12891918420791626
bus:336,37,0.8918918918918919,0.34,0.11034200340509415
bus:337,45,0.7111111111111111,0.34355555555555556,0.09327097982168198
bus:337А,42,0.7619047619047619,0.34523809523809523,0.09263841062784195
bus:339,20,0.55,0.361,0.05955006927251816
bus:34,34,0.6470588235294118,0.34764705882352936,0.06889664381742477
bus:342,34,0.5588235294117647,0.33882352941176463,0.15842773020267487
bus:343Э,49,0.5510204081632653,0.33510204081632655,0.4907345473766327
bus:345,32,0.5625,0.343125,0.13546636700630188
bus:347,16,0.625,0.37125,0.062377847731113434
bus:348,48,0.5625,0.3420833333333333,0.21054621040821075
bus:349,34,0.6176470588235294,0.33294117647058824,0.11615472286939621
bus:35,14,0.7857142857142857,0.40285714285714286,0.06021009385585785
bus:350,12,0.4166666666666667,0.4016666666666666,0.042297251522541046
bus:351А,24,0.5,0.3499999999999999,0.08162090927362442
bus:351Б,23,0.5217391304347826,0.3573913043478262,0.0816870778799057
bus:352,32,0.53125,0.33625,0.10965722054243088
bus:353,20,0.55,0.386,0.08162090927362442
bus:354,24,0.375,0.35333333333333333,0.10135255008935928
bus:355,15,0.4666666666666667,0.3653333333333333,0.04183097556233406
bus:356,31,0.7419354838709677,0.34838709677419355,0.07940871268510818
bus:357,31,0.7096774193548387,0.34838709677419355,0.05919107422232628
bus:358,14,0.5,0.3685714285714285,0.056443288922309875
bus:359,81,0.48148148148148145,0.337283950617284,0.34058424830436707
bus:36,51,0.7058823529411765,0.3329411764705882,0.11374493688344955
bus:360,23,0.7391304347826086,0.34695652173913044,0.08465290069580078
bus:364,40,0.8,0.3455,0.08568904548883438
bus:366,23,0.6956521739130435,0.36869565217391304,0.05847165361046791
bus:367,26,0.7307692307692307,0.3561538461538462,0.0732552781701088
bus:368,25,0.6,0.3632,0.0757165178656578
bus:369,21,0.6666666666666666,0.359047619047619,0.05729097127914429
bus:37,48,0.5416666666666666,0.32416666666666666,0.15221773087978363
bus:370,32,0.4375,0.339375,0.08658342063426971
bus:371,16,0.375,0.385,0.03735637664794922
bus:373,21,0.42857142857142855,0.36,0.043626658618450165
bus:374,34,0.5,0.34058823529411764,0.16631297767162323
bus:375,35,0.5714285714285714,0.3525714285714286,0.07931428402662277
bus:375А,28,0.6428571428571429,0.35857142857142854,0.08216671645641327
bus:376,37,0.40540540540540543,0.3394594594594594,0.07820358127355576
bus:377,31,0.3225806451612903,0.35096774193548386,0.16951197385787964
bus:378,25,0.48,0.34480000000000005,0.09180336445569992
bus:379,14,0.42857142857142855,0.3757142857142858,0.05110090598464012
bus:38,30,0.6333333333333333,0.348,0.07752066850662231
bus:380,25,0.44,0.368,0.10145596414804459
bus:381,34,0.4117647058823529,0.33705882352941174,0.07644237577915192
bus:382,23,0.4782608695652174,0.35478260869565226,0.0499192550778389
bus:383,28,0.39285714285714285,0.35285714285714276,0.08258046209812164
bus:384,17,0.4117647058823529,0.3623529411764705,0.04769245162606239
bus:385,39,0.358974358974359,0.35999999999999993,0.11682412028312683
bus:386,39,0.8205128205128205,0.33743589743589736,0.06284955143928528
bus:388,22,0.7272727272727273,0.34181818181818185,0.17055676877498627
bus:39,25,0.72,0.3655999999999999,0.08203257620334625
bus:390,18,0.7777777777777778,0.38666666666666666,0.041183676570653915
bus:392,39,0.5384615384615384,0.3405128205128205,0.06530909240245819
bus:394,11,0.7272727272727273,0.40909090909090906,0.05386311188340187
bus:396,13,0.7692307692307693,0.39076923076923076,0.08330553025007248
bus:396А,32,0.4375,0.344375,0.12872810661792755
bus:397,36,0.6666666666666666,0.3277777777777778,0.10151275992393494
bus:398,8,0.75,0.4275,0.0415632463991642
bus:399,23,0.43478260869565216,0.37391304347826093,0.08523067831993103
bus:3АЛ,11,0.36363636363636365,0.41272727272727266,0.028454255312681198
bus:3КР,20,0.55,0.373,0.08158441632986069
bus:3Л,15,0.5333333333333333,0.3573333333333333,0.028454255312681198
